page,code,time_hr,type,composition
42,02-04-001-186-6,200,Spinel,8.35
42,02-04-001-186-6,200,Rutile,3.3
42,02-04-001-186-6,500,Rutile,3.3
42,02-04-001-186-6,500,Rutile,3.3
42,02-04-001-186-6,500,Spinel,8.05
42,02-04-001-186-6,500,Spinel,8.3
43,02-04-001-190-5,200,Oxide,Al2O3
43,02-04-001-190-5,200,Rutile,3.3
43,02-04-001-190-5,200,Oxide,Cr2O3
43,02-04-001-190-5,200,Unknown,1.38
44,02-04-001-231-5,500,Oxide,Al2O3
44,02-04-001-231-5,500,Spinel,8.1
44,02-04-001-231-5,500,Oxide,NiO
44,02-04-001-231-5,500,Spinel,8.25
44,02-04-001-231-5,500,Rutile,3.3
44,02-04-001-231-5,500,Oxide,Cr2O3
45,02-04-001-238-5,500,Oxide,Al2O3
45,02-04-001-238-5,500,Spinel,8.1
45,02-04-001-238-5,500,Oxide,NiO
45,02-04-001-238-5,500,Spinel,8.25
45,02-04-001-238-5,500,Rutile,3.3
45,02-04-001-238-5,500,Oxide,Cr2O3
46,02-04-001-276-6,200,Oxide,NiO
46,02-04-001-276-6,200,Spinel,8.3
46,02-04-001-276-6,200,Rutile,3.3
46,02-04-001-276-6,200,Spinel,8.1
46,02-04-001-276-6,200,Unknown,5.06
46,02-04-001-276-6,200,Unknown,2.55
46,02-04-001-276-6,200,Unknown,1.89
46,02-04-001-276-6,500,Oxide,NiO
46,02-04-001-276-6,500,Spinel,8.05
46,02-04-001-276-6,500,Oxide,Al2O3
46,02-04-001-276-6,500,Rutile,3.3
46,02-04-001-276-6,500,Spinel,8.25
47,02-04-001-324-2,200,Oxide,NiO
47,02-04-001-324-2,200,Rutile,3.3
47,02-04-001-324-2,200,Spinel,8.25
47,02-04-001-324-2,200,Spinel,8.1
47,02-04-001-324-2,200,Unknown,3.1
47,02-04-001-324-2,200,Unknown,3.69
47,02-04-001-324-2,200,Unknown,3.57
48,02-04-001-327-1,200,Spinel,8.3
48,02-04-001-327-1,200,Oxide,CoO
48,02-04-001-327-1,200,Rutile,3.3
49,02-04-001-336-4,200,Oxide,NiO
49,02-04-001-336-4,200,Rutile,3.3
49,02-04-001-336-4,200,Spinel,8.15
49,02-04-001-336-4,200,Oxide,"Ni(W,Mo)O4 Type 2"
50,02-04-001-096-2,100,Oxide,NiO
50,02-04-001-096-2,100,Spinel,8.2
52,02-04-001-098-1,100,Oxide,NiO
52,02-04-001-098-1,100,Spinel,8.2
55,02-04-002-323-3,100,Oxide,NiO
55,02-04-002-323-3,100,Spinel,8.3
55,02-04-002-323-3,100,Rutile,3.3
55,02-04-002-323-3,100,Oxide,"Ni(W,Mo)O4 Type 1"
55,02-04-002-323-3,100,Oxide,CoO
56,02-04-002-190-4,200,Oxide,Al2O3
56,02-04-002-190-4,200,Rutile,3.3
56,02-04-002-190-4,200,Spinel,8.2
57,02-04-002-326-3,200,Spinel,8.35
57,02-04-002-326-3,200,Oxide,CoO
57,02-04-002-326-3,200,Oxide,Al2TiO5
57,02-04-002-326-3,200,Rutile,3.3
58,02-04-003-041-6,100,Oxide,NiO
58,02-04-003-041-6,100,Spinel,8.25
59,02-04-003-095-3,75,Oxide,NiO
59,02-04-003-095-3,75,Spinel,8.25
61,02-04-003-105-2,100,Oxide,NiO
61,02-04-003-105-2,100,Spinel,8.2
65,02-04-003-127-4,100,Oxide,NiO
65,02-04-003-127-4,100,Spinel,8.3
65,02-04-003-127-4,100,Oxide,"Ni(W,Mo)O4 Type 2"
69,02-04-003-096-6,100,Oxide,NiO
69,02-04-003-096-6,100,Spinel,8.3
69,02-04-003-096-6,100,Oxide,Al2O3
71,02-04-003-098-6,100,Oxide,NiO
71,02-04-003-098-6,100,Spinel,8.25
72,02-04-004-041-4,100,Oxide,NiO
72,02-04-004-041-4,100,Rutile,3.3
72,02-04-004-041-4,100,Spinel,8.2
72,02-04-004-041-4,100,Oxide,Cr2O3
72,02-04-004-041-4,100,Oxide,Al2O3
73,02-04-004-003-5,100,Spinel,8.25
73,02-04-004-003-5,100,Oxide,NiO
73,02-04-004-003-5,100,Oxide,Al2O3
75,02-04-005-041-2,100,Oxide,NiO
75,02-04-005-041-2,100,Spinel,8.3
76,02-04-005-321-1,100,Oxide,NiO
76,02-04-005-321-1,100,Spinel,8.3
76,02-04-005-321-1,100,Rutile,3.3
76,02-04-005-321-1,100,Oxide,Cr2O3
76,02-04-005-321-1,100,Oxide,NiTiO3
77,02-04-005-004-5,100,Oxide,Cr2O3
77,02-04-005-004-5,100,Rutile,3.3
77,02-04-005-004-5,100,Oxide,NiO
77,02-04-005-004-5,100,Spinel,8.25
78,02-04-005-324-1,200,Oxide,NiO
78,02-04-005-324-1,200,Spinel,8.3
78,02-04-005-324-1,200,Rutile,3.3
78,02-04-005-324-1,200,Oxide,Cr2O3
78,02-04-005-324-1,200,Oxide,NiTiO3
78,02-04-005-324-1,200,Oxide,Al2O3
78,02-04-005-324-1,200,Unknown,2.9
80,02-04-007-323-2,100,Oxide,NiO
80,02-04-007-323-2,100,Spinel,8.3
80,02-04-007-323-2,100,Oxide,"Ni(W,Mo)O4 Type 1"
80,02-04-007-323-2,100,Rutile,3.3
80,02-04-007-323-2,100,Oxide,Cr2O3
81,02-04-007-323-5,100,Oxide,NiO
81,02-04-007-323-5,100,Spinel,8.3
81,02-04-007-323-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
81,02-04-007-323-5,100,Rutile,3.3
81,02-04-007-323-5,100,Oxide,CoO
81,02-04-007-323-5,100,Oxide,"Ni(W,Mo)O4 Type 2"
82,02-04-007-337-5,100,Oxide,NiO
82,02-04-007-337-5,100,Spinel,8.3
82,02-04-007-337-5,100,Rutile,3.3
82,02-04-007-337-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
82,02-04-007-337-5,100,Oxide,"Ni(W,Mo)O4 Type 2"
83,02-04-007-310-2,200,Oxide,NiO
83,02-04-007-310-2,200,Oxide,"Ni(W,Mo)O4 Type 1"
83,02-04-007-310-2,200,Spinel,8.25
83,02-04-007-310-2,200,Rutile,3.3
84,02-04-007-326-2,200,Oxide,NiO
84,02-04-007-326-2,200,Spinel,8.3
84,02-04-007-326-2,200,Rutile,3.3
84,02-04-007-326-2,200,Oxide,"Ni(W,Mo)O4 Type 1"
84,02-04-007-326-2,200,Oxide,NiTiO3
84,02-04-007-326-2,200,Oxide,Cr2O3
84,02-04-007-326-2,200,Unkown,3.1
85,02-04-007-326-5,200,Oxide,NiO
85,02-04-007-326-5,200,Spinel,8.3
85,02-04-007-326-5,200,Oxide,"Ni(W,Mo)O4 Type 1"
85,02-04-007-326-5,200,Rutile,3.3
85,02-04-007-326-5,200,Oxide,"(Ni,Co,Fe)TiO3"
85,02-04-007-326-5,200,Oxide,Cr2O3
85,02-04-007-326-5,200,Unknown,2.81
85,02-04-007-326-5,200,Unknown,2.76
86,02-04-007-336-5,200,Oxide,NiO
86,02-04-007-336-5,200,Spinel,8.3
86,02-04-007-336-5,200,Oxide,"Ni(W,Mo)O4 Type 1"
86,02-04-007-336-5,200,Rutile,3.3
87,02-04-031-328-3,100,Oxide,NiO
87,02-04-031-328-3,100,Spinel,8.3
87,02-04-031-328-3,100,Oxide,Cr2O3
87,02-04-031-328-3,100,Rutile,3.3
87,02-04-031-328-3,100,Spinel,8.1
88,02-04-031-327-3,200,Oxide,NiO
88,02-04-031-327-3,200,Spinel,8.3
88,02-04-031-327-3,200,Oxide,Cr2O3
88,02-04-031-327-3,200,Rutile,3.3
88,02-04-031-327-3,200,Spinel,8.05
89,02-04-008-225-1,75,Oxide,NiO
89,02-04-008-225-1,75,Oxide,"Ni(W,Mo)O4 Type 1"
89,02-04-008-225-1,75,Spinel,8.25
89,02-04-008-225-1,75,Rutile,3.3
90,02-04-008-225-2,75,Oxide,NiO
90,02-04-008-225-2,75,Oxide,"Ni(W,Mo)O4 Type 1"
90,02-04-008-225-2,75,Spinel,8.25
90,02-04-008-225-2,75,Rutile,3.3
91,02-04-008-310-3,200,Oxide,NiO
91,02-04-008-310-3,200,Oxide,"Ni(W,Mo)O4 Type 1"
91,02-04-008-310-3,200,Spinel,8.25
91,02-04-008-310-3,200,Rutile,3.3
92,02-04-009-225-3,100,Oxide,NiO
92,02-04-009-225-3,100,Oxide,"Ni(W,Mo)O4 Type 1"
92,02-04-009-225-3,100,Spinel,8.25
92,02-04-009-225-3,100,Rutile,3.3
92,02-04-009-225-3,100,Oxide,HfO2
93,02-04-009-225-6,100,Oxide,NiO
93,02-04-009-225-6,100,Oxide,"Ni(W,Mo)O4 Type 1"
93,02-04-009-225-6,100,Spinel,8.25
93,02-04-009-225-6,100,Rutile,3.3
93,02-04-009-225-6,100,Oxide,HfO2
94,02-04-010-225-4,100,Oxide,NiO
94,02-04-010-225-4,100,Oxide,"Ni(W,Mo)O4 Type 1"
94,02-04-010-225-4,100,Spinel,8.25
94,02-04-010-225-4,100,Rutile,3.3
94,02-04-010-225-4,100,Oxide,HfO2
95,02-04-010-225-5,100,Oxide,NiO
95,02-04-010-225-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
95,02-04-010-225-5,100,Spinel,8.25
95,02-04-010-225-5,100,Rutile,3.3
95,02-04-010-225-5,100,Oxide,HfO2
96,02-04-009-310-4,200,Oxide,NiO
96,02-04-009-310-4,200,Oxide,"Ni(W,Mo)O4 Type 1"
96,02-04-009-310-4,200,Spinel,8.25
96,02-04-009-310-4,200,Rutile,3.3
96,02-04-009-310-4,200,Oxide,HfO2
97,02-04-010-310-5,200,Oxide,NiO
97,02-04-010-310-5,200,Oxide,"Ni(W,Mo)O4 Type 1"
97,02-04-010-310-5,200,Spinel,8.25
97,02-04-010-310-5,200,Rutile,3.3
97,02-04-010-310-5,200,Oxide,HfO2
98,02-04-011-321-4,100,Oxide,NiO
98,02-04-011-321-4,100,Oxide,"Ni(W,Mo)O4 Type 1"
98,02-04-011-321-4,100,Spinel,8.25
98,02-04-011-321-4,100,Rutile,3.3
98,02-04-011-321-4,100,Unknown,2.76
99,02-04-011-324-4,115,Oxide,NiO
99,02-04-011-324-4,115,Oxide,"Ni(W,Mo)O4 Type 1"
99,02-04-011-324-4,115,Spinel,8.25
99,02-04-011-324-4,115,Spinel,8.1
99,02-04-011-324-4,115,Oxide,"Ni(W,Mo)O4 Type 2"
99,02-04-011-324-4,115,Rutile,3.3
100,02-04-012-323-3,100,Oxide,NiO
100,02-04-012-323-3,100,Spinel,8.25
100,02-04-012-323-3,100,Spinel,8.05
100,02-04-012-323-3,100,Rutile,3.3
101,02-04-012-325-3,200,Oxide,NiO
101,02-04-012-325-3,200,Spinel,8.3
101,02-04-012-325-3,200,Rutile,3.3
102,02-04-013-322-1,100,Oxide,NiO
102,02-04-013-322-1,100,Spinel,8.3
102,02-04-013-322-1,100,Oxide,"Ni(W,Mo)O4 Type 1"
102,02-04-013-322-1,100,Rutile,3.3
102,02-04-013-322-1,100,Oxide,Cr2O3
102,02-04-013-322-1,100,Unknown,2.76
103,02-04-013-325-1,200,Oxide,NiO
103,02-04-013-325-1,200,Spinel,8.25
103,02-04-013-325-1,200,Oxide,"Ni(W,Mo)O4 Type 1"
103,02-04-013-325-1,200,Rutile,3.3
103,02-04-013-325-1,200,Oxide,Cr2O3
103,02-04-013-325-1,200,Unknown,2.72
104,02-04-021-041-3,100,Oxide,NiO
104,02-04-021-041-3,100,Rutile,3.3
104,02-04-021-041-3,100,Spinel,8.15
105,02-04-021-078-3,100,Rutile,3.3
105,02-04-021-078-3,100,Oxide,Al2O3
105,02-04-021-078-3,100,Rutile,3.3
105,02-04-021-078-3,100,Unknown,3.13
105,02-04-021-078-3,100,Unknown,2.87
105,02-04-021-078-3,100,Unknown,0.9
106,02-04-021-078-6,100,Oxide,NiO
106,02-04-021-078-6,100,Rutile,3.3
106,02-04-021-078-6,100,Rutile,3.3
106,02-04-021-078-6,100,Rutile,3.3
106,02-04-021-078-6,100,Spinel,8.05
106,02-04-021-078-6,100,Unknown,2.91
107,02-04-021-101-4,100,Rutile,3.3
107,02-04-021-101-4,100,Rutile,3.3
107,02-04-021-101-4,100,Oxide,NiO
107,02-04-021-101-4,100,Spinel,8.05
112,02-04-021-129-5,100,Oxide,NiO
112,02-04-021-129-5,100,Rutile,3.3
112,02-04-021-129-5,100,Oxide,"Ni(W,Mo)O4 Type 1"
112,02-04-021-129-5,100,Spinel,8.1
112,02-04-021-129-5,100,Rutile,3.3
112,02-04-021-129-5,100,Oxide,Al2O3
113,02-04-021-129-6,100,Oxide,NiO
113,02-04-021-129-6,100,Rutile,3.3
113,02-04-021-129-6,100,Oxide,"Ni(W,Mo)O4 Type 1"
113,02-04-021-129-6,100,Spinel,8.1
114,02-04-021-204-5,100,Oxide,NiO
114,02-04-021-204-5,100,Rutile,3.3
114,02-04-021-204-5,100,Rutile,3.3
114,02-04-021-204-5,100,Unknown,1.43
114,02-04-021-204-5,100,Unknown,1.38
114,02-04-021-204-5,100,Unknown,1.06
115,02-04-021-001-5,100,Rutile,3.3
115,02-04-021-001-5,100,Oxide,Cr2O3
116,02-04-021-103-1,500,Rutile,3.3
116,02-04-021-103-1,500,Rutile,3.3
116,02-04-021-103-1,500,Oxide,NiO
116,02-04-021-103-1,500,Spinel,8.2
116,02-04-021-103-1,600,Oxide,NiO
116,02-04-021-103-1,600,Rutile,3.3
116,02-04-021-103-1,600,Rutile,3.3
116,02-04-021-103-1,600,Spinel,8.15
117,02-04-021-103-2,500,Oxide,NiO
117,02-04-021-103-2,500,Spinel,8.25
117,02-04-021-103-2,500,Rutile,3.3
117,02-04-021-103-2,600,Oxide,NiO
117,02-04-021-103-2,600,Rutile,3.3
117,02-04-021-103-2,600,Spinel,8.15
118,02-04-021-103-6,500,Rutile,3.3
118,02-04-021-103-6,500,Oxide,NiO
118,02-04-021-103-6,500,Rutile,3.3
118,02-04-021-103-6,500,Spinel,8.25
118,02-04-021-103-6,500,Oxide,Al2O3
118,02-04-021-103-6,600,Oxide,NiO
118,02-04-021-103-6,600,Rutile,3.3
118,02-04-021-103-6,600,Rutile,3.3
118,02-04-021-103-6,600,Spinel,8.25
118,02-04-021-103-6,600,Unknown,1.72
118,02-04-021-103-6,600,Unknown,1.26
119,02-04-021-190-6,200,Spinel,8.05
121,02-04-027-102-3,100,Oxide,CoO
121,02-04-027-102-3,100,Spinel,8.05
121,02-04-027-102-3,100,Spinel,8.25
121,02-04-027-102-3,100,Unknown,2.66
121,02-04-027-102-3,100,Unknown,1.6
121,02-04-027-102-3,100,Unknown,0.9
121,02-04-027-102-3,100,Unknown,0.8
123,02-04-027-139-4,100,Oxide,NiO
123,02-04-027-139-4,100,Spinel,8.05
123,02-04-027-139-4,100,Oxide,Al2O3
123,02-04-027-139-4,100,Unknown,Ni
125,02-04-025-108-3,100,Oxide,NiO
125,02-04-025-108-3,100,Rutile,3.3
125,02-04-025-108-3,100,Rutile,3.3
126,02-04-025-232-3,200,Oxide,NiO
126,02-04-025-232-3,200,Spinel,8.2
127,02-04-016-108-4,100,Oxide,NiO
127,02-04-016-108-4,100,Rutile,3.3
127,02-04-016-108-4,100,Rutile,3.3
127,02-04-016-108-4,100,Rutile,3.3
127,02-04-016-108-4,100,Unknown,2.89
127,02-04-016-108-4,100,Unknown,3.69
127,02-04-016-108-4,100,Unknown,2.95
127,02-04-016-108-4,100,Unknown,1.75
129,02-04-016-232-6,200,Oxide,NiO
129,02-04-016-232-6,200,Spinel,8.2
129,02-04-016-232-6,200,Rutile,3.3
130,02-04-017-322-4,100,Oxide,NiO
130,02-04-017-322-4,100,Oxide,"Ni(W,Mo)O4 Type 2"
130,02-04-017-322-4,100,Spinel,8.3
130,02-04-017-322-4,100,Rutile,3.3
130,02-04-017-322-4,100,Unknown,3.14
130,02-04-017-322-4,100,Unknown,4.97
130,02-04-017-322-4,100,Unknown,4.38
131,02-04-017-325-4,200,Oxide,NiO
131,02-04-017-325-4,200,Oxide,"Ni(W,Mo)O4 Type 1"
131,02-04-017-325-4,200,Rutile,3.3
131,02-04-017-325-4,200,Spinel,8.3
133,02-04-019-101-2,100,Oxide,NiO
133,02-04-019-101-2,100,Rutile,3.3
135,02-04-019-107-6,100,Oxide,NiO
